,Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Prod_Deliv_Ratio,CO2_per_unit,Deliveries_per_station,YearMonth,Lag_Deliveries,Rolling_3m_Deliveries,Delivery_Growth_Rate,Price_per_kWh
2128,2024,3,Asia,Model Y,11566,12885,83989.63,82,465,806.73,Official (Quarter),8020,1.1140411551098046,0.06261001164144354,1.44214463840399,2024-3,10084.0,11712.0,0.14696548988496638,1024.263780487805
2129,2017,9,Asia,Model X,5933,5952,75229.88,82,483,429.85,Estimated (Region),9794,1.0032024271026463,0.07221942204301075,0.6057790483969777,2017-9,11566.0,9194.333333333334,-0.48703095279266817,917.4375609756098
2130,2015,9,Asia,Model X,7909,8216,76578.47,82,475,563.52,Official (Quarter),6216,1.0388165381211278,0.06858812074001948,1.2723616473616473,2015-9,5933.0,8469.333333333334,0.3330524186752064,933.8837804878049
2131,2015,2,Middle East,Model Y,11172,11180,61256.56,100,577,966.94,Official (Quarter),11302,1.0007160759040459,0.08648837209302326,0.9884976110422934,2015-2,2972.0,6079.0,2.7590847913862717,612.5656
2132,2025,7,North America,Model 3,6187,6687,98364.44,100,571,529.92,Official (Quarter),13248,1.0808146112817196,0.07924629878869448,0.4670138888888889,2025-7,12149.0,8848.0,-0.4907399785990616,983.6444
2133,2017,12,Asia,Model Y,9237,9445,117765.35,100,572,792.53,Interpolated (Month),9018,1.022518133593158,0.08391000529380624,1.024284763805722,2017-12,7909.0,7693.0,0.1679099759767353,1177.6535000000001
2134,2015,5,Asia,Model S,13489,13580,69667.42,120,717,1450.74,Interpolated (Month),13683,1.0067462376751428,0.10682916053019145,0.9858218226997003,2015-5,9237.0,10211.666666666666,0.46032261556782506,580.5618333333333
2135,2020,1,Europe,Model S,16543,17897,75159.67,75,415,1029.8,Estimated (Region),5320,1.081847307018074,0.057540369894395704,3.1095864661654136,2020-1,12547.0,12220.0,0.31848250577827364,1002.1289333333333
2136,2024,11,Europe,Model Y,5572,5749,76203.53,100,563,470.56,Official (Quarter),4059,1.0317659727207467,0.08185075665333101,1.372751909337275,2024-11,16543.0,11554.0,-0.6631808015474823,762.0353
2137,2022,8,Europe,Model X,5100,5665,77782.16,75,422,322.83,Official (Quarter),7505,1.1107843137254902,0.056986760812003524,0.6795469686875416,2022-8,5572.0,9071.666666666666,-0.08470926058865758,1037.0954666666667
2138,2019,10,Middle East,Model S,10077,10790,84321.87,82,485,733.1,Interpolated (Month),12983,1.070755185074923,0.06794253938832252,0.7761688361703767,2019-10,11172.0,8073.666666666667,-0.09801288936627284,1028.315487804878
2139,2020,7,North America,Cybertruck,9320,9944,50781.2345,82,484,676.63,Interpolated (Month),7317,1.0669527896995707,0.0680440466613033,1.2737460707940413,2020-7,6187.0,9218.666666666666,0.5063843542912558,619.2833475609756
2140,2015,11,Middle East,Model 3,20107,22594,74346.64,120,700,2111.23,Interpolated (Month),9788,1.1236882677674442,0.09344206426484908,2.0542501021659176,2015-11,10077.0,13785.333333333334,0.9953359134663093,619.5553333333334
2141,2017,2,Asia,Model S,10163,10570,108483.62,82,451,687.53,Official (Quarter),7549,1.0400472301485781,0.06504541154210028,1.3462710292754008,2017-2,13489.0,10963.0,-0.24657128030246867,1322.9709756097561
2142,2022,1,North America,Model S,20667,23519,53441.1,82,474,1469.42,Interpolated (Month),13243,1.1379977742294478,0.06247799651345721,1.5605980518009515,2022-1,9320.0,12058.0,1.2174892703862663,651.7207317073171
2143,2017,1,Middle East,Cybertruck,13497,14260,117485.49,75,415,840.19,Official (Quarter),11244,1.0565310809809587,0.05891935483870968,1.2003735325506937,2017-1,20107.0,14560.333333333334,-0.32874123439598146,1566.4732000000001
2144,2024,2,North America,Model Y,6847,7872,80315.33,120,702,720.99,Interpolated (Month),5191,1.1497005988023952,0.09158917682926829,1.3190136775187824,2024-2,20667.0,12278.0,-0.6686988919533556,669.2944166666667
2145,2022,9,Middle East,Model 3,14126,14145,52308.39,82,485,1027.67,Estimated (Region),11208,1.0013450375194677,0.07265252739483917,1.260349750178444,2022-9,13497.0,15910.0,0.04660294880343785,637.9071951219512
2146,2020,10,Europe,Model Y,2923,3338,108972.49,75,439,192.48,Estimated (Region),3935,1.1419774204584332,0.05766327142001198,0.7428208386277001,2020-10,5100.0,4531.666666666667,-0.42686274509803923,1452.9665333333335
2147,2021,4,Middle East,Cybertruck,10226,10533,64770.47,82,479,734.74,Interpolated (Month),5636,1.0300215137883826,0.0697560049368651,1.8144073811213626,2021-4,14126.0,12616.333333333334,-0.27608664873283306,789.8837804878049
2148,2024,12,Middle East,Model Y,6349,7036,106746.6,120,684,651.41,Interpolated (Month),11957,1.1082060166955425,0.0925824332006822,0.5309860332859413,2024-12,10226.0,10233.666666666666,-0.3791316252689223,889.5550000000001
2149,2023,8,Middle East,Model 3,10874,12275,55370.92,60,333,543.16,Official (Quarter),8942,1.1288394335111274,0.044249287169042764,1.2160590471930217,2023-8,6349.0,9149.666666666666,0.7127106630965507,922.8486666666666
2150,2021,6,North America,Model S,9313,10131,118325.48,120,691,965.29,Official (Quarter),13863,1.0878342102437453,0.09528082124173329,0.6717882132294597,2021-6,6847.0,12275.666666666666,0.36015773331386014,986.0456666666666
2151,2020,1,Middle East,Model X,19577,21213,101984.52,60,338,992.55,Interpolated (Month),9779,1.083567451601369,0.046789704426530895,2.0019429389508128,2020-1,10874.0,12266.666666666666,0.8003494574213721,1699.742
2152,2020,11,Middle East,Model 3,8660,8911,64726.05,75,413,536.49,Interpolated (Month),13760,1.0289838337182449,0.06020536415666031,0.6293604651162791,2020-11,19577.0,13037.0,-0.5576441742861521,863.014
2153,2024,3,Middle East,Model Y,10989,12555,119249.2584,82,466,768.13,Interpolated (Month),6585,1.1425061425061425,0.06118120270808443,1.6687927107061504,2024-3,8660.0,13075.333333333334,0.26893764434180145,1454.259248780488
2154,2021,12,Middle East,Model 3,8284,9097,99652.0,100,579,719.47,Interpolated (Month),7286,1.0981409946885563,0.07908871056392218,1.136975020587428,2021-12,10989.0,9311.0,-0.2461552461552462,996.52
2155,2019,12,Middle East,Model X,14160,15916,89385.88,120,705,1497.42,Estimated (Region),11563,1.1240112994350282,0.09408268409148028,1.2245956931592148,2019-12,8284.0,11144.333333333334,0.7093191694833414,744.8823333333333
2156,2021,6,North America,Model X,7939,8893,92306.65,60,335,398.93,Official (Quarter),8937,1.1201662677919133,0.04485887776903182,0.8883294170303234,2021-6,9313.0,8033.0,-0.14753570278105876,1538.4441666666667
2157,2018,12,Asia,Model Y,11849,13148,103882.26,82,490,870.9,Interpolated (Month),9882,1.1096295045995443,0.06623821113477335,1.1990487755515078,2018-12,10163.0,11833.666666666666,0.16589589688084216,1266.8568292682926
2158,2018,2,Asia,Model S,14166,16177,78014.86,100,589,1251.57,Official (Quarter),6191,1.1419596216292531,0.07736724979909748,2.2881602325957036,2018-2,11849.0,12059.333333333334,0.19554392775761675,780.1486
2159,2015,12,Asia,Cybertruck,4993,5640,83124.69,100,598,447.87,Official (Quarter),5226,1.1295814139795715,0.07940957446808511,0.9554152315346345,2015-12,14166.0,10336.0,-0.6475363546519837,831.2469
2160,2018,1,Asia,Model X,3922,4416,65486.71,120,682,401.22,Official (Quarter),12700,1.1259561448240694,0.09085597826086957,0.3088188976377953,2018-1,4993.0,7693.666666666667,-0.21450030042058887,545.7225833333333
2161,2025,12,Asia,Model X,13671,15308,67998.03,60,348,713.63,Estimated (Region),8520,1.1197425206641796,0.04661810817873008,1.6045774647887323,2025-12,3922.0,7528.666666666667,2.485721570627231,1133.3005
2162,2019,10,Middle East,Model 3,3237,3475,90094.08,120,674,327.26,Official (Quarter),12527,1.0735248687055916,0.09417553956834532,0.2584018519996807,2019-10,14160.0,8560.333333333334,-0.7713983050847457,750.784
2163,2024,6,Europe,Model S,9874,11229,119242.89,100,593,878.29,Official (Quarter),14973,1.1372290864897712,0.07821622584379731,0.6594536832966006,2024-6,2923.0,5965.666666666667,2.3780362641122137,1192.4288999999999
2164,2020,1,Europe,Cybertruck,8186,8985,107716.19,60,342,419.94,Interpolated (Month),3877,1.0976056682140238,0.046737896494156925,2.1114263605880836,2020-1,9874.0,6994.333333333333,-0.17095402066032006,1795.2698333333333
2165,2019,6,Europe,Model S,14287,16241,80739.15,75,413,885.08,Interpolated (Month),7347,1.1367676909078184,0.054496644295302016,1.9446032394174493,2019-6,8186.0,10782.333333333334,0.745296848277547,1076.522
2166,2023,12,Middle East,Model 3,9203,10426,101084.08,60,334,461.07,Interpolated (Month),9789,1.1328914484407258,0.04422309610588912,0.9401368883440596,2023-12,3237.0,8866.666666666666,1.8430645659561322,1684.7346666666667
2167,2019,6,North America,Model X,6397,7290,51725.11,82,479,459.62,Estimated (Region),11703,1.1395966859465374,0.0630480109739369,0.5466119798342305,2019-6,7939.0,7883.0,-0.19423101146240085,630.7940243902439
2168,2019,11,Europe,Model X,10964,12047,119238.77,120,675,1110.1,Official (Quarter),11064,1.0987778183144838,0.09214742259483688,0.9909616775126536,2019-11,14287.0,11145.666666666666,-0.23258906698397142,993.6564166666667
2169,2021,3,Asia,Model X,11349,11618,81896.26,100,580,987.36,Estimated (Region),11302,1.023702528857168,0.08498536753313823,1.0041585560077861,2021-3,13671.0,9647.333333333334,-0.16984858459512842,818.9626
2170,2024,1,Middle East,Cybertruck,9756,10011,93531.74,60,330,482.92,Interpolated (Month),7794,1.0261377613776137,0.048238937169113975,1.251732101616628,2024-1,9203.0,7398.666666666667,0.06008910137998469,1558.8623333333335
2171,2018,9,North America,Cybertruck,10028,10999,85739.93,60,333,500.9,Estimated (Region),6744,1.0968288791384124,0.04554050368215292,1.4869513641755634,2018-9,6397.0,8121.333333333333,0.5676098171017665,1428.9988333333333
2172,2015,8,North America,Model Y,14575,16529,105201.8,120,669,1462.6,Estimated (Region),6740,1.134065180102916,0.08848690180894185,2.1624629080118694,2015-8,10028.0,10333.333333333334,0.45343039489429593,876.6816666666667
2173,2025,10,Asia,Model 3,15394,15397,89197.49,120,695,1604.82,Official (Quarter),14664,1.0001948811225152,0.1042293953367539,1.0497817785051828,2025-10,11349.0,13471.333333333334,0.356419067759274,743.3124166666668
2174,2018,7,Asia,Model S,11739,13264,54173.21,100,584,1028.34,Interpolated (Month),4679,1.1299088508390833,0.07752864897466827,2.5088694165419962,2018-7,15394.0,12827.333333333334,-0.23743016759776536,541.7321
2175,2017,12,Middle East,Model X,16989,17788,98373.91,82,462,1177.34,Estimated (Region),5287,1.0470304314556478,0.06618731729255678,3.2133535086060148,2017-12,9756.0,11982.666666666666,0.7413899138991389,1199.6818292682926
2176,2025,6,Europe,Model X,9221,10089,108823.54,120,668,923.94,Official (Quarter),13264,1.0941329573798937,0.09157894736842105,0.6951899879372738,2025-6,10964.0,11490.666666666666,-0.15897482670558194,906.8628333333332
2177,2016,2,North America,Cybertruck,13985,14888,67410.0,100,580,1216.69,Interpolated (Month),11481,1.0645691812656417,0.08172286405158517,1.2180994686873965,2016-2,14575.0,12862.666666666666,-0.040480274442538544,674.1
2178,2015,4,Middle East,Model S,10084,11453,56390.07,100,565,854.62,Estimated (Region),14400,1.1357596191987307,0.07461975028376845,0.7002777777777778,2015-4,16989.0,12276.333333333334,-0.4064394608275943,563.9007
2179,2016,8,Middle East,Model S,3747,4007,113645.41,120,692,388.94,Estimated (Region),8973,1.0693888444088604,0.09706513601197904,0.4175860916081578,2016-8,10084.0,10273.333333333334,-0.6284212614042046,947.0450833333333
2180,2024,5,North America,Model X,13980,15377,110956.73,100,593,1243.52,Interpolated (Month),9947,1.099928469241774,0.08086883007088509,1.4054488790590127,2024-5,13985.0,14180.0,-0.0003575259206292092,1109.5673
2181,2025,4,Asia,Model 3,8438,9651,94711.75,100,592,749.29,Interpolated (Month),9480,1.1437544441810856,0.07763858667495596,0.890084388185654,2025-4,11739.0,11857.0,-0.2811994207343045,947.1175
2182,2016,8,Middle East,Model 3,11195,12575,76629.4,60,353,592.78,Interpolated (Month),14573,1.123269316659223,0.04713956262425447,0.7682014684690867,2016-8,3747.0,8342.0,1.9877235121430479,1277.1566666666665
2183,2020,9,Europe,Model S,3028,3350,53637.63,82,486,220.74,Official (Quarter),8499,1.106340819022457,0.06589253731343284,0.3562772090834216,2020-9,9221.0,7737.666666666667,-0.6716191302461771,654.1174390243903
2184,2024,3,North America,Model 3,7874,7878,84682.14,60,333,393.31,Estimated (Region),12052,1.0005080010160021,0.04992510789540493,0.6533355459674742,2024-3,13980.0,11946.333333333334,-0.43676680972818316,1411.369
2185,2022,12,North America,Model Y,14239,15200,72759.3,75,430,918.42,Interpolated (Month),12824,1.067490694571248,0.06042236842105263,1.1103399875233937,2022-12,7874.0,12031.0,0.8083566167132334,970.124
2186,2017,6,Middle East,Model S,11053,11464,65008.45,75,422,699.65,Official (Quarter),5970,1.0371844748032208,0.061030181437543615,1.8514237855946398,2017-6,11195.0,8665.0,-0.012684234033050523,866.7793333333333
2187,2023,10,Europe,Cybertruck,4070,4344,95267.09,100,597,364.47,Official (Quarter),12534,1.0673218673218674,0.08390193370165747,0.324716770384554,2023-10,3028.0,5439.666666666667,0.3441215323645972,952.6709
2188,2020,5,Middle East,Model 3,9239,9839,105978.43,100,586,812.11,Official (Quarter),8115,1.0649420933001408,0.08253989226547413,1.1385089340727048,2020-5,11053.0,10495.666666666666,-0.16411833891251248,1059.7843
2189,2022,8,North America,Model 3,15396,17005,91077.43,120,709,1637.36,Interpolated (Month),3867,1.104507664328397,0.09628697441928843,3.9813809154383244,2022-8,14239.0,12503.0,0.08125570615914035,758.9785833333333
2190,2018,8,Asia,Model X,11344,11779,65445.57,82,456,775.93,Official (Quarter),13309,1.0383462623413258,0.06587401307411495,0.8523555488767,2018-8,8438.0,10507.0,0.3443944062574069,798.1167073170732
2191,2021,6,Europe,Model Y,2784,2834,99246.98,60,349,145.74,Interpolated (Month),7487,1.0179597701149425,0.05142554693013409,0.37184453051956723,2021-6,4070.0,3294.0,-0.31597051597051595,1654.1163333333332
2192,2015,2,Middle East,Model 3,5052,5602,112797.72,75,445,337.22,Official (Quarter),12358,1.108867775138559,0.06019635844341307,0.40880401359443275,2015-2,9239.0,8448.0,-0.4531875744128152,1503.9696000000001
2193,2024,4,Europe,Model S,9469,10565,114960.61,100,563,799.66,Official (Quarter),7018,1.115746118914352,0.07568954093705632,1.3492447990880592,2024-4,2784.0,5441.0,2.401221264367816,1149.6061
2194,2023,12,North America,Model Y,9486,9874,71183.56,75,435,618.96,Estimated (Region),8259,1.0409023824583596,0.06268584160421309,1.1485652015982564,2023-12,15396.0,13040.333333333334,-0.38386593920498835,949.1141333333333
2195,2024,5,Europe,Cybertruck,8761,8977,52950.53,75,429,563.77,Interpolated (Month),12614,1.0246547197808469,0.06280160409936504,0.694545742825432,2024-5,9469.0,7004.666666666667,-0.07477030309430777,706.0070666666667
2196,2019,1,Middle East,Model X,13208,14709,69734.28,60,339,671.63,Estimated (Region),14095,1.1136432465172623,0.045661159834115166,0.9370698829372118,2019-1,5052.0,9166.333333333334,1.6144101346001585,1162.238
2197,2021,7,Asia,Model 3,8967,9082,62842.05,60,352,473.46,Interpolated (Month),3263,1.0128248020519683,0.05213168905527417,2.7480845847379713,2021-7,11344.0,9583.0,-0.2095380818053597,1047.3675
2198,2019,9,North America,Model X,1930,2093,114172.92,60,354,102.48,Interpolated (Month),8413,1.0844559585492228,0.04896321070234114,0.22940687031974324,2019-9,9486.0,8937.333333333334,-0.7965422728231077,1902.882
2199,2022,11,Asia,Model X,7397,7921,97398.92,60,356,395.0,Estimated (Region),11990,1.0708395295390023,0.049867440979674285,0.616930775646372,2022-11,8967.0,9236.0,-0.17508642801382845,1623.3153333333332
2200,2017,10,Middle East,Model S,11917,12332,59077.53,60,337,602.4,Official (Quarter),7263,1.0348242007216581,0.048848524164774566,1.640782045986507,2017-10,13208.0,10059.0,-0.09774379164142943,984.6255
2201,2018,1,Europe,Model Y,2368,2385,53693.57,100,584,207.44,Official (Quarter),8495,1.007179054054054,0.0869769392033543,0.27875220718069454,2018-1,8761.0,6866.0,-0.7297112201803447,536.9357
2202,2016,9,Asia,Model X,11133,11512,108592.88,100,563,940.18,Estimated (Region),10714,1.034042935417228,0.08166956219596942,1.039107709538921,2016-9,7397.0,9165.666666666666,0.5050696228200622,1085.9288000000001
2203,2021,4,Middle East,Model 3,8550,8715,82792.29,120,695,891.34,Estimated (Region),3371,1.0192982456140351,0.10227653471026965,2.536339365173539,2021-4,11917.0,11225.0,-0.28253755139716374,689.93575
2204,2021,11,Europe,Cybertruck,7825,8121,106751.13,60,358,420.2,Interpolated (Month),4631,1.0378274760383386,0.05174239625661864,1.689699848844742,2021-11,2368.0,6318.0,2.3044763513513513,1779.1855
2205,2018,6,Europe,Model S,128,143,116537.3,82,451,8.66,Official (Quarter),14790,1.1171875,0.06055944055944056,0.008654496281271129,2018-6,7825.0,3440.3333333333335,-0.9836421725239617,1421.1865853658537
2206,2017,7,Middle East,Model 3,7161,7274,65565.29,100,575,617.64,Estimated (Region),10293,1.0157799190057255,0.08491064063788836,0.6957155348294958,2017-7,8550.0,9209.333333333334,-0.1624561403508772,655.6528999999999
2207,2015,6,Asia,Cybertruck,7201,8144,114461.07,75,414,447.18,Estimated (Region),6322,1.130954034161922,0.05490913555992141,1.1390382790256248,2015-6,11133.0,8577.0,-0.35318422707266683,1526.1476
2208,2016,9,Middle East,Model X,6101,6994,57750.44,60,342,312.98,Estimated (Region),3504,1.1463694476315358,0.04474978553045468,1.7411529680365296,2016-9,7161.0,7270.666666666667,-0.14802401899176088,962.5073333333333
2209,2021,10,Europe,Model S,9675,10252,85954.34,82,483,700.95,Official (Quarter),7483,1.059638242894057,0.06837202497073742,1.2929306427903247,2021-10,128.0,5876.0,74.5859375,1048.2236585365854
2210,2025,10,Europe,Model Y,8720,9521,98179.93,100,575,752.1,Official (Quarter),8707,1.0918577981651376,0.07899380317193572,1.001493051567704,2025-10,9675.0,6174.333333333333,-0.09870801033591736,981.7992999999999
2211,2015,5,Europe,Cybertruck,10050,10998,98702.41,75,429,646.72,Estimated (Region),10530,1.0943283582089551,0.05880341880341881,0.9544159544159544,2015-5,8720.0,9481.666666666666,0.15252293577981657,1316.0321333333334
2212,2023,9,North America,Model X,15098,15229,115038.14,82,460,1041.76,Interpolated (Month),14996,1.008676645913366,0.0684063300282356,1.0068018138170178,2023-9,1930.0,8838.0,6.82279792746114,1402.9041463414635
2213,2018,2,Asia,Model Y,11445,11972,88252.1,60,342,587.13,Estimated (Region),4922,1.0460463084316296,0.049041931172736385,2.325274278748476,2018-2,7201.0,9926.333333333334,0.589362588529371,1470.8683333333333
2214,2021,10,Asia,Model S,3157,3343,77143.5,100,564,267.08,Official (Quarter),6222,1.0589166930630345,0.07989231229434639,0.5073931211828994,2021-10,11445.0,7267.666666666667,-0.7241590214067278,771.435
2215,2015,1,Asia,Model 3,8795,9165,87988.73,82,456,601.58,Official (Quarter),12626,1.0420693575895394,0.06563884342607747,0.6965784888325677,2015-1,3157.0,7799.0,1.7858726639214444,1073.0332926829267
2216,2016,3,North America,Cybertruck,13927,15011,83542.73,75,413,862.78,Estimated (Region),7094,1.077834422345085,0.05747651722070481,1.9632083450803497,2016-3,15098.0,10318.333333333334,-0.07755994171413427,1113.9030666666665
2217,2019,6,Europe,Model 3,12163,13001,53857.11,75,428,780.86,Estimated (Region),8628,1.0688974759516567,0.06006153372817476,1.4097125637459433,2019-6,10050.0,10311.0,0.21024875621890549,718.0948
2218,2019,12,Asia,Model 3,11220,12431,56029.5,60,343,577.27,Estimated (Region),5087,1.1079322638146167,0.046437937414528195,2.2056221741694517,2019-12,8795.0,7724.0,0.2757248436611712,933.825
2219,2021,1,North America,Model S,10139,10942,106742.27,60,352,535.34,Estimated (Region),10965,1.0791991320643062,0.04892524218607202,0.9246694026447788,2021-1,13927.0,13054.666666666666,-0.2719896603719394,1779.0378333333333
2220,2025,4,Asia,Model Y,9751,10553,50781.2345,100,552,807.38,Interpolated (Month),5410,1.082247974566711,0.07650715436368805,1.8024029574861369,2025-4,11220.0,9922.0,-0.13092691622103392,507.812345
2221,2025,4,Asia,Model X,11382,12375,110681.15,82,490,836.58,Official (Quarter),11104,1.0872430152872958,0.06760242424242424,1.025036023054755,2025-4,9751.0,10784.333333333334,0.167264895908112,1349.7701219512194
2222,2024,12,Europe,Model Y,6662,7463,114055.37,82,482,481.66,Official (Quarter),12869,1.1202341639147404,0.06453972933136809,0.5176781412697179,2024-12,12163.0,9625.0,-0.45227328784017096,1390.9191463414634
2223,2021,7,Europe,Model Y,14909,15392,91361.03,75,446,997.41,Estimated (Region),12573,1.0323965390032865,0.06480054573804574,1.1857949574485007,2021-7,6662.0,11244.666666666666,1.2379165415791054,1218.1470666666667
2224,2024,6,Europe,Cybertruck,9170,9703,62992.28,120,707,972.48,Interpolated (Month),7992,1.058124318429662,0.10022467278161394,1.1473973973973974,2024-6,14909.0,10247.0,-0.38493527399557315,524.9356666666666
2225,2022,1,Europe,Model X,15237,17350,57875.29,75,416,950.79,Estimated (Region),6996,1.1386755923081973,0.05480057636887608,2.177958833619211,2022-1,9170.0,13105.333333333334,0.6616139585605234,771.6705333333333
2226,2018,7,Asia,Model 3,11901,12643,88401.19,75,427,762.26,Estimated (Region),9235,1.0623477018737921,0.06029107015739935,1.2886843530048728,2018-7,11382.0,11011.333333333334,0.0455983131259885,1178.6825333333334
2227,2024,3,Europe,Model X,9744,10496,59151.43,82,459,670.87,Interpolated (Month),10874,1.077175697865353,0.06391673018292683,0.8960823983814603,2024-3,15237.0,11383.666666666666,-0.36050403622760385,721.3589024390244
2228,2018,9,Middle East,Model S,15810,17649,77518.53,120,668,1584.16,Official (Quarter),3128,1.1163187855787475,0.08975919315541958,5.054347826086956,2018-9,6101.0,9690.666666666666,1.5913784625471235,645.98775
2229,2017,1,Middle East,Model 3,8688,9781,50781.2345,75,421,548.65,Estimated (Region),11890,1.125805709023941,0.056093446477865246,0.7306980656013456,2017-1,15810.0,10199.666666666666,-0.45047438330170775,677.0831266666667
2230,2022,6,North America,Model X,15131,16082,63579.58,75,423,960.06,Official (Quarter),9061,1.062851100389928,0.05969779878124611,1.6699039841077143,2022-6,10139.0,13065.666666666666,0.4923562481507051,847.7277333333334
2231,2016,5,Middle East,Model S,16846,19100,116873.43,60,353,892.0,Interpolated (Month),6784,1.1338003086786181,0.046701570680628274,2.483195754716981,2016-5,8688.0,13781.333333333334,0.9389963167587476,1947.8905
2232,2017,2,Middle East,Model S,12872,14359,106500.89,82,455,878.51,Estimated (Region),6186,1.115522063393412,0.06118183717529076,2.0808276753960557,2017-2,16846.0,12802.0,-0.23590169773239933,1298.7913414634147
2233,2020,8,Europe,Model Y,4607,5003,94618.32,82,473,326.87,Interpolated (Month),11859,1.0859561536791837,0.06533479912052768,0.3884813222025466,2020-8,9744.0,9862.666666666666,-0.527196223316913,1153.8819512195123
2234,2019,3,Middle East,Model S,12284,12804,69530.58,75,427,786.79,Official (Quarter),14985,1.0423314881146206,0.06144876601062168,0.8197530864197531,2019-3,12872.0,14000.666666666666,-0.045680546923555054,927.0744
2235,2025,4,Middle East,Cybertruck,11544,11617,91072.84,75,422,730.74,Official (Quarter),3389,1.0063236313236312,0.06290264267883275,3.4063145470640306,2025-4,12284.0,12233.333333333334,-0.06024096385542166,1214.3045333333332
2236,2022,6,North America,Model 3,6816,7670,61385.66,82,486,496.89,Official (Quarter),11241,1.125293427230047,0.06478357235984354,0.6063517480651187,2022-6,15131.0,10695.333333333334,-0.5495340691296015,748.6056097560976
2237,2022,6,Europe,Model S,12296,13578,78661.36,82,486,896.38,Estimated (Region),6575,1.1042615484710474,0.06601708646339667,1.8701140684410646,2022-6,4607.0,8882.333333333334,1.6689819839374866,959.2848780487805
2238,2023,8,Asia,Model S,7201,7619,92014.18,60,345,372.65,Interpolated (Month),11334,1.0580474934036939,0.04891061819136369,0.635344979707076,2023-8,11901.0,10161.333333333334,-0.3949247962356105,1533.5696666666665
2239,2016,6,Middle East,Model 3,13013,14255,103278.51,120,669,1305.85,Interpolated (Month),8538,1.0954430185199415,0.09160645387583304,1.5241274303115484,2016-6,11544.0,12280.333333333334,0.12725225225225234,860.6542499999999
2240,2025,6,Asia,Cybertruck,8638,8830,99142.5,82,480,621.94,Estimated (Region),11090,1.0222273674461682,0.07043488108720272,0.7788999098286745,2025-6,7201.0,9246.666666666666,0.19955561727537852,1209.0548780487804
2241,2020,6,Asia,Model X,7718,7890,85698.96,60,343,397.09,Interpolated (Month),13809,1.0222855662088624,0.050328263624841565,0.5589108552393367,2020-6,8638.0,7852.333333333333,-0.10650613567955547,1428.316
2242,2021,10,Middle East,Model S,10632,11812,87998.9,60,345,550.21,Official (Quarter),7173,1.1109857035364936,0.04658059600406367,1.4822250104558763,2021-10,13013.0,11729.666666666666,-0.1829708752785676,1466.6483333333333
2243,2017,4,Asia,Model S,416,466,108507.81,75,424,26.46,Official (Quarter),11323,1.1201923076923077,0.05678111587982833,0.03673938002296211,2017-4,7718.0,5590.666666666667,-0.9461000259134491,1446.7708
2244,2020,2,Europe,Model X,10403,11265,58031.94,60,333,519.63,Official (Quarter),9354,1.0828607132557917,0.046127829560585885,1.1121445370964294,2020-2,12296.0,9102.0,-0.15395250487963563,967.1990000000001
2245,2024,10,Middle East,Cybertruck,11501,12292,91552.48,60,338,583.1,Estimated (Region),10750,1.068776628119294,0.0474373576309795,1.069860465116279,2024-10,10632.0,11715.333333333334,0.08173438675696021,1525.8746666666666
2246,2018,12,Middle East,Model X,13653,14025,80124.26,75,418,856.04,Estimated (Region),11479,1.0272467589540761,0.061036720142602495,1.1893893196271452,2018-12,11501.0,11928.666666666666,0.18711416398574032,1068.3234666666665
2247,2022,5,Asia,Model Y,4849,5434,75892.2,75,436,317.12,Interpolated (Month),11704,1.1206434316353888,0.05835848362164152,0.4143028024606972,2022-5,416.0,4327.666666666667,10.65625,1011.896
2248,2023,12,North America,Model 3,5102,5378,109654.99,75,433,331.37,Interpolated (Month),11614,1.0540964327714621,0.061615842320565266,0.4392973996900293,2023-12,6816.0,9016.333333333334,-0.25146713615023475,1462.0665333333334
2249,2019,3,Europe,Model Y,9962,10229,112379.81,75,429,641.05,Estimated (Region),11516,1.026801847018671,0.0626698602013882,0.8650573115665161,2019-3,10403.0,10887.0,-0.04239161780255696,1498.3974666666666
2250,2019,7,Asia,Model X,8330,8492,95040.03,75,419,523.54,Estimated (Region),4171,1.0194477791116447,0.06165096561469618,1.9971229920882283,2019-7,4849.0,4531.666666666667,0.7178799752526295,1267.2004
2251,2024,10,Asia,Model Y,9150,10087,115850.2,82,478,656.05,Official (Quarter),13455,1.1024043715846994,0.06503915931396848,0.6800445930880713,2024-10,8330.0,7443.0,0.09843937575030015,1412.8073170731707
2252,2019,2,Middle East,Model 3,9029,9256,74835.81,82,467,632.48,Official (Quarter),3688,1.0251412116513456,0.06833189282627485,2.4482104121475055,2019-2,13653.0,11394.333333333334,-0.3386801435581923,912.6318292682927
2253,2021,12,Middle East,Cybertruck,12810,13469,78749.03,60,351,674.45,Estimated (Region),9138,1.0514441842310696,0.050074244561585865,1.401838476690742,2021-12,9029.0,11830.666666666666,0.4187617676376121,1312.4838333333332
2254,2015,8,Asia,Model Y,15381,16421,57926.66,60,359,828.27,Estimated (Region),13066,1.0676158897340875,0.05043968089641313,1.1771774070105618,2015-8,9150.0,10953.666666666666,0.6809836065573771,965.4443333333334
2255,2017,6,North America,Model S,9078,10082,99318.81,82,468,637.28,Official (Quarter),7158,1.1105970478078873,0.06320968061892482,1.2682313495389774,2017-6,5102.0,6998.666666666667,0.7793022344178753,1211.205
